,品种,zj_init,zs,f,开仓间隔,maxcw,资金增长倍数,做多次数,做空次数,日收益标准差
0,rb,100000,2,0.02,0,0.3,105.1,281,279,0.02722
1,rb,100000,3,0.02,0,0.3,124.0,239,244,0.02964
2,rb,100000,4,0.02,0,0.3,87.4,209,220,0.03135
3,rb,100000,2,0.02,0,0.3,105.1,281,279,0.02722
4,rb,100000,2,0.03,0,0.3,299.7,231,233,0.03315
5,rb,100000,2,0.04,0,0.3,541.9,198,199,0.03747
6,rb,100000,2,0.02,0,0.3,105.1,281,279,0.02722
7,rb,100000,2,0.02,0,0.4,169.8,317,314,0.02974
8,rb,100000,2,0.02,0,0.5,245.3,337,337,0.03125
9,rb,100000,2,0.02,0,0.3,105.1,281,279,0.02722
10,rb,100000,2,0.02,1,0.3,74.5,213,212,0.02075
11,rb,100000,2,0.02,2,0.3,52.9,186,184,0.01709
12,rb,100000,2,0.02,3,0.3,28.1,163,160,0.01571
,品种,zj_init,zs,f,开仓间隔,maxcw,资金增长倍数,做多次数,做空次数,日收益标准差
0,dy,100000,2,0.02,0,0.3,5.5,434,320,0.01658
1,dy,100000,3,0.02,0,0.3,5.1,372,286,0.01936
2,dy,100000,4,0.02,0,0.3,3.7,328,261,0.02076
3,dy,100000,2,0.02,0,0.3,5.5,434,320,0.01658
4,dy,100000,2,0.03,0,0.3,6.6,362,268,0.02058
5,dy,100000,2,0.04,0,0.3,6.3,303,233,0.0235
6,dy,100000,2,0.02,0,0.3,5.5,434,320,0.01658
7,dy,100000,2,0.02,0,0.4,7.7,475,349,0.01894
8,dy,100000,2,0.02,0,0.5,6.2,496,375,0.01954
9,dy,100000,2,0.02,0,0.3,5.5,434,320,0.01658
10,dy,100000,2,0.02,1,0.3,5.3,334,254,0.01399
11,dy,100000,2,0.02,2,0.3,3.4,281,222,0.01219
12,dy,100000,2,0.02,3,0.3,3.5,243,190,0.01152
,品种,zj_init,zs,f,开仓间隔,maxcw,资金增长倍数,做多次数,做空次数,日收益标准差
0,c,100000,2,0.02,0,0.3,0.1,401,337,0.01405
1,c,100000,3,0.02,0,0.3,0.2,335,301,0.01658
2,c,100000,4,0.02,0,0.3,0.3,299,266,0.01678
3,c,100000,2,0.02,0,0.3,0.1,401,337,0.01405
4,c,100000,2,0.03,0,0.3,0.1,350,317,0.01084
5,c,100000,2,0.04,0,0.3,0.0,328,319,0.01004
6,c,100000,2,0.02,0,0.3,0.1,401,337,0.01405
7,c,100000,2,0.02,0,0.4,0.1,444,391,0.01086
8,c,100000,2,0.02,0,0.5,0.1,478,415,0.00877
9,c,100000,2,0.02,0,0.3,0.1,401,337,0.01405
10,c,100000,2,0.02,1,0.3,0.2,329,273,0.01222
11,c,100000,2,0.02,2,0.3,0.2,292,248,0.01145
12,c,100000,2,0.02,3,0.3,0.3,257,216,0.01091
,品种,zj_init,zs,f,开仓间隔,maxcw,资金增长倍数,做多次数,做空次数,日收益标准差
0,m,100000,2,0.02,0,0.3,11.1,570,544,0.01859
1,m,100000,3,0.02,0,0.3,18.8,499,468,0.02236
2,m,100000,4,0.02,0,0.3,8.7,466,431,0.02334
3,m,100000,2,0.02,0,0.3,11.1,570,544,0.01859
4,m,100000,2,0.03,0,0.3,17.6,483,461,0.02329
5,m,100000,2,0.04,0,0.3,21.2,430,406,0.02792
6,m,100000,2,0.02,0,0.3,11.1,570,544,0.01859
7,m,100000,2,0.02,0,0.4,15.9,628,593,0.02058
8,m,100000,2,0.02,0,0.5,14.7,677,626,0.02261
9,m,100000,2,0.02,0,0.3,11.1,570,544,0.01859
10,m,100000,2,0.02,1,0.3,10.9,451,420,0.01624
11,m,100000,2,0.02,2,0.3,6.4,403,360,0.01353
12,m,100000,2,0.02,3,0.3,4.0,344,318,0.01166
,品种,zj_init,zs,f,开仓间隔,maxcw,资金增长倍数,做多次数,做空次数,日收益标准差
0,sr,100000,2,0.02,0,0.3,1.9,422,401,0.01538
1,sr,100000,3,0.02,0,0.3,3.3,370,335,0.01829
2,sr,100000,4,0.02,0,0.3,5.2,326,304,0.02012
3,sr,100000,2,0.02,0,0.3,1.9,422,401,0.01538
4,sr,100000,2,0.03,0,0.3,1.8,354,348,0.01932
5,sr,100000,2,0.04,0,0.3,2.6,307,304,0.02431
6,sr,100000,2,0.02,0,0.3,1.9,422,401,0.01538
7,sr,100000,2,0.02,0,0.4,1.8,455,439,0.01698
8,sr,100000,2,0.02,0,0.5,1.5,481,456,0.01759
9,sr,100000,2,0.02,0,0.3,1.9,422,401,0.01538
10,sr,100000,2,0.02,1,0.3,1.5,322,320,0.01208
11,sr,100000,2,0.02,2,0.3,2.0,263,266,0.01146
12,sr,100000,2,0.02,3,0.3,1.6,233,231,0.00936
,品种,zj_init,zs,f,开仓间隔,maxcw,资金增长倍数,做多次数,做空次数,日收益标准差
0,a,100000,2,0.02,0,0.3,4.5,562,474,0.01712
1,a,100000,3,0.02,0,0.3,5.2,497,411,0.01927
2,a,100000,4,0.02,0,0.3,3.5,446,368,0.01999
3,a,100000,2,0.02,0,0.3,4.5,562,474,0.01712
4,a,100000,2,0.03,0,0.3,5.6,461,402,0.02145
5,a,100000,2,0.04,0,0.3,4.6,410,355,0.02542
6,a,100000,2,0.02,0,0.3,4.5,562,474,0.01712
7,a,100000,2,0.02,0,0.4,5.3,621,542,0.01952
8,a,100000,2,0.02,0,0.5,4.8,676,583,0.02076
9,a,100000,2,0.02,0,0.3,4.5,562,474,0.01712
10,a,100000,2,0.02,1,0.3,4.0,460,396,0.01454
11,a,100000,2,0.02,2,0.3,3.7,405,345,0.01325
12,a,100000,2,0.02,3,0.3,3.1,357,303,0.01176
,品种,zj_init,zs,f,开仓间隔,maxcw,资金增长倍数,做多次数,做空次数,日收益标准差
0,ma,100000,2,0.02,0,0.3,1.6,96,89,0.0178
1,ma,100000,3,0.02,0,0.3,2.0,89,82,0.02228
2,ma,100000,4,0.02,0,0.3,2.0,82,76,0.02562
3,ma,100000,2,0.02,0,0.3,1.6,96,89,0.0178
4,ma,100000,2,0.03,0,0.3,1.8,86,82,0.02487
5,ma,100000,2,0.04,0,0.3,2.3,74,72,0.03
6,ma,100000,2,0.02,0,0.3,1.6,96,89,0.0178
7,ma,100000,2,0.02,0,0.4,1.8,102,94,0.01988
8,ma,100000,2,0.02,0,0.5,1.6,108,98,0.02027
9,ma,100000,2,0.02,0,0.3,1.6,96,89,0.0178
10,ma,100000,2,0.02,1,0.3,1.3,71,62,0.01323
11,ma,100000,2,0.02,2,0.3,1.4,60,52,0.01175
12,ma,100000,2,0.02,3,0.3,1.3,49,49,0.01037
,品种,zj_init,zs,f,开仓间隔,maxcw,资金增长倍数,做多次数,做空次数,日收益标准差
0,ta,100000,2,0.02,0,0.3,28.7,381,385,0.02324
1,ta,100000,3,0.02,0,0.3,68.1,326,327,0.02824
2,ta,100000,4,0.02,0,0.3,41.4,305,293,0.02936
3,ta,100000,2,0.02,0,0.3,28.7,381,385,0.02324
4,ta,100000,2,0.03,0,0.3,84.1,321,320,0.02779
5,ta,100000,2,0.04,0,0.3,108.2,281,280,0.03208
6,ta,100000,2,0.02,0,0.3,28.7,381,385,0.02324
7,ta,100000,2,0.02,0,0.4,28.2,412,416,0.02483
8,ta,100000,2,0.02,0,0.5,30.2,438,440,0.02646
9,ta,100000,2,0.02,0,0.3,28.7,381,385,0.02324
10,ta,100000,2,0.02,1,0.3,15.9,287,286,0.01749
11,ta,100000,2,0.02,2,0.3,8.7,244,249,0.01448
12,ta,100000,2,0.02,3,0.3,7.0,209,214,0.0127
